Time,Velocity,Acceleration,Apogee,Predicted DP
3.624999999999999889e-01,5.042419367814385112e+01,1.464618595485460730e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.649999999999999911e-01,5.079044274716776641e+01,1.465350752820586138e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.674999999999999933e-01,5.115687487151448920e+01,1.466082850129518249e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.699999999999999956e-01,5.152349003614611433e+01,1.466814886750702556e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.724999999999999978e-01,5.189028969647179679e+01,1.467558627542926217e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.750000000000000000e-01,5.225727530846498325e+01,1.468302310716259171e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.775000000000000022e-01,5.262444685768873853e+01,1.469045935594106993e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.800000000000000044e-01,5.299180432953625797e+01,1.469789501493511921e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.825000000000000067e-01,5.335934166335314188e+01,1.470484638439129412e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.850000000000000089e-01,5.372705279559655622e+01,1.471179698668066180e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.875000000000000111e-01,5.409493770705427096e+01,1.471874681510371374e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.900000000000000133e-01,5.446299637834611218e+01,1.472569586291588450e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.925000000000000155e-01,5.483123755272752220e+01,1.473334518171304239e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.950000000000000178e-01,5.519966997735035363e+01,1.474099395123429588e+02,0.000000000000000000e+00,0.000000000000000000e+00
3.975000000000000200e-01,5.556829363844717307e+01,1.474864216427274073e+02,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000222e-01,5.593710852206946527e+01,1.475628981354946632e+02,0.000000000000000000e+00,0.000000000000000000e+00
